name,currentPrimary,currentCategories,suggestedPrimary,suggestedCategories,change,reason
"💋🔞Sexo, Ligar y Citas 🔞💋 Mujeres Infieles con ganas de sexo en España # tiktok # packs # xvideo # Pornhub # OnlyFans","Adult","Amateur, Spain, Telegram-Porn","Onlyfans","Onlyfans, Spain, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Spain, Telegram-Porn] → [Onlyfans, Spain, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Shurygina OnlyFans СЛИВ | succubdiana","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Onlyfans Free TH 👙","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"OnlyFansly FM","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Onlyfans Peaks","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"TIK-TOK NaKeD ONLYFANS star's 18+🇷🇺","Adult","Amateur, Onlyfans, Russian","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Russian] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Michelle Van Hiller","Adult","Amateur, Milf, Cuckold","Cuckold","Cuckold, Milf, Onlyfans, Russian, Telegram-Porn","Adult → Cuckold | tags: [Amateur, Milf, Cuckold] → [Cuckold, Milf, Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Cuckold"""
"Layla Leona 🍭","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Deine Pia","Adult","Amateur, Onlyfans, Russian","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Russian] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Amelia ❤️ OnlyFans","Adult","Amateur, Onlyfans, Russian","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Russian] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Mati Marroni Onlyfans","Adult","Amateur, Russian, Onlyfans","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Russian, Onlyfans] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Мелани😍Melani","Adult","Amateur, Onlyfans, Russian","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Russian] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Katharina Amalia OnlyFans","Adult","Amateur, Onlyfans, Germany","Onlyfans","Germany, Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Germany] → [Germany, Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"OnlyFans 18+ | Photos/Videos","Adult","Amateur, Onlyfans, Hentai","Hentai","Hentai, Onlyfans, Russian, Telegram-Porn","Adult → Hentai | tags: [Amateur, Onlyfans, Hentai] → [Hentai, Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Hentai"""
"СЛИВЫ | OnlyFans | Webcam | 18+","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Brazil, Onlyfans, Public, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Brazil, Onlyfans, Public, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"🔥MBCA_Anna Telegram🔥","Adult","Amateur, Telegram-Porn, Russian","Russian","Russian, Telegram-Porn","Adult → Russian | tags: [Amateur, Telegram-Porn, Russian] → [Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Russian"""
"Dear Daria💗","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"tinii 🧸","Adult","Amateur, Onlyfans, Russian","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Russian] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Only Bitches 💦","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Onlyfans Leaks, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Onlyfans Leaks, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Joanaelaa❤️‍🔥","Adult","Amateur, Onlyfans, Russian","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Russian] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"ONLYFANS (MEGA)","Adult","Amateur, Onlyfans, Germany","Onlyfans","Germany, Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Germany] → [Germany, Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Viralhoes.com","Adult","Amateur, Onlyfans, Russian","Onlyfans","Cosplay, Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Russian] → [Cosplay, Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Архив OnlyFans🔞","Adult","Amateur, Onlyfans, Russian","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Russian] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Няшности Onlyfansщиц(Ы)","Adult","Amateur, Onlyfans, Russian","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Russian] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Liliana Garcia","Adult","Amateur, Latina, Onlyfans","Onlyfans","Latina, Onlyfans, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Latina, Onlyfans] → [Latina, Onlyfans, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"FAKESP / Andrea Rojo","Adult","Amateur, Onlyfans, Russian","Onlyfans","Cosplay, Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Russian] → [Cosplay, Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Замужняя шл*ха - Сексвайф PURAVIDACOST","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Тайны Твоих Подруг | онлифанс | сливы | onlyfans | only fans | girls | hot | webcam","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Onlyfans Leaks","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans Leaks","Onlyfans, Onlyfans Leaks, Russian, Telegram-Porn","Adult → Onlyfans Leaks | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Onlyfans Leaks, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans Leaks"""
"Melissakisska","Adult","Amateur, Russian, Telegram-Porn","Russian","Onlyfans, Russian, Telegram-Porn","Adult → Russian | tags: [Amateur, Russian, Telegram-Porn] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Russian"""
"Meinaasav 1","Adult","Amateur, Onlyfans, Feet","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Feet] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"BARBIE GAMER ONLYFANS ️","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Aery Tiefling 🐣","Adult","Amateur, Cosplay, Onlyfans","Onlyfans","Cosplay, Onlyfans, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Cosplay, Onlyfans] → [Cosplay, Onlyfans, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Onlyfans 18+","Adult","Amateur, Onlyfans, USA","Onlyfans","Onlyfans, Russian, Telegram-Porn, USA","Adult → Onlyfans | tags: [Amateur, Onlyfans, USA] → [Onlyfans, Russian, Telegram-Porn, USA]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Lena12 ❤️","Adult","Amateur, Onlyfans, Russian","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Russian] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Onlyfans moment | PinupPixie | Xenon | Misswarmj | Vladislava Shelygina | Amouranth | Megnut","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"♥️MUKYDZA♥️","Adult","Amateur, Onlyfans, Russian","Onlyfans","Onlyfans, Onlyfans Leaks, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Russian] → [Onlyfans, Onlyfans Leaks, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"TIK TITS 18+ | СЛИВ ONLYFANS 🍓","Adult","Amateur, Big Tits, Onlyfans","Onlyfans","Big Tits, Onlyfans, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Big Tits, Onlyfans] → [Big Tits, Onlyfans, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"ONLYFANS MODELS 18+","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"MEGA OnlyFans Leaks","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans Leaks","Onlyfans, Onlyfans Leaks, Telegram-Porn","Adult → Onlyfans Leaks | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Onlyfans Leaks, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans Leaks"""
"OnlyFans Actress","Adult","Amateur, Onlyfans, Russian","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Russian] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"OnlyFans TikTok","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"CHERRY ONLYFANS [🍒]","Adult","Amateur, Onlyfans, Russian","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Russian] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Larissa Manoela Onlyfans","Adult","Amateur, Onlyfans, Brazil","Onlyfans","Brazil, Onlyfans, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Brazil] → [Brazil, Onlyfans, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Dark Federation 🔞 ""Sexy Cosplay Girls"" OnlyFans Tik - Tok","Adult","Amateur, Cosplay, Onlyfans","Onlyfans","Cosplay, Onlyfans, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Cosplay, Onlyfans] → [Cosplay, Onlyfans, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Модельное агентство OFDAYS","Adult","Amateur, Onlyfans, Russian","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Russian] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"LOOPGIRLS - СЛИВ ONLYFANS","Adult","Amateur, Onlyfans, Russian","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Russian] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"УБТ TikTok/OnlyFans/Youtube","Adult","Amateur, China, Telegram-Porn","Onlyfans","China, Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, China, Telegram-Porn] → [China, Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Horny Onlyfans Leaks","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans Leaks","Onlyfans, Onlyfans Leaks, Telegram-Porn","Adult → Onlyfans Leaks | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Onlyfans Leaks, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans Leaks"""
"Alone Drops - Onlyfans Flyers & Promo","Adult","Amateur, Onlyfans, Russian","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Russian] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"🔥Twerk, TikTok, OnlyFans, Nudes, Ass, Boobs","Adult","Amateur, Onlyfans, Latina","Onlyfans","Cosplay, Latina, Onlyfans, Onlyfans Leaks, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Latina] → [Cosplay, Latina, Onlyfans, Onlyfans Leaks, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Я ненавижу ваши onlyfans (Ы)","Adult","Amateur, Onlyfans, Telegram-Porn","Onlyfans","Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Telegram-Porn] → [Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Тайны Жены","Adult","Amateur, Onlyfans, Germany","Onlyfans","Germany, Onlyfans, Russian, Telegram-Porn","Adult → Onlyfans | tags: [Amateur, Onlyfans, Germany] → [Germany, Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans"""
"Bbw/Milf/Mature/Mom/Wife/Big ass/Granny/Home/Closeup/Pussy","Adult","Adult, MILF, Big Ass","MILF","Big Ass, MILF, Onlyfans, Russian, Telegram-Porn","Adult → MILF | tags: [Adult, MILF, Big Ass] → [Big Ass, MILF, Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""MILF"""
"Juicy MILF","Adult","Adult, MILF, Telegram-Porn","MILF","Italy, MILF, Russian, Telegram-Porn","Adult → MILF | tags: [Adult, MILF, Telegram-Porn] → [Italy, MILF, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""MILF"""
"🔞 MILFS BY J&M 📛","Adult","Adult, MILF, Onlyfans Leaks","Onlyfans Leaks","MILF, Onlyfans, Onlyfans Leaks, Russian, Telegram-Porn","Adult → Onlyfans Leaks | tags: [Adult, MILF, Onlyfans Leaks] → [MILF, Onlyfans, Onlyfans Leaks, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""Onlyfans Leaks"""
"MILF PRODUCTION","Adult","Adult, MILF, Amateur","MILF","Hentai, MILF, Onlyfans, Russian, Telegram-Porn","Adult → MILF | tags: [Adult, MILF, Amateur] → [Hentai, MILF, Onlyfans, Russian, Telegram-Porn]","Generic primary ""Adult"" → promote tag ""MILF"""
"吃瓜ღ猎奇","Amateur","Amateur, Telegram-Porn, China","China","China, Telegram-Porn","Amateur → China | tags: [Amateur, Telegram-Porn, China] → [China, Telegram-Porn]","Generic primary ""Amateur"" → promote tag ""China"""
"福利姬摩多 收藏夹","Amateur","Amateur, Telegram-Porn, China","Cosplay","China, Cosplay, Telegram-Porn","Amateur → Cosplay | tags: [Amateur, Telegram-Porn, China] → [China, Cosplay, Telegram-Porn]","Generic primary ""Amateur"" → promote tag ""Cosplay"""
"Adriana Olivarez","Amateur","Amateur, Telegram-Porn","Onlyfans","Onlyfans, Telegram-Porn","Amateur → Onlyfans | tags: [Amateur, Telegram-Porn] → [Onlyfans, Telegram-Porn]","Description signals ""Onlyfans"""
"🍑Demon mika 🥵","Amateur","Amateur, Telegram-Porn, Onlyfans","Onlyfans","Onlyfans, Telegram-Porn","Amateur → Onlyfans | tags: [Amateur, Telegram-Porn, Onlyfans] → [Onlyfans, Telegram-Porn]","Generic primary ""Amateur"" → promote tag ""Onlyfans"""
"二次元R18动漫资源分享[3D｜同人｜动画｜ACG｜MMD｜VAM]","Amateur","Amateur, Telegram-Porn, China","Hentai","China, Hentai, Telegram-Porn","Amateur → Hentai | tags: [Amateur, Telegram-Porn, China] → [China, Hentai, Telegram-Porn]","Generic primary ""Amateur"" → promote tag ""Hentai"""
