Tag,Live,Local,Diff,Status
"Spain",,68,,LOCAL ONLY
"Spanish",70,65,-5,DIFF
"Squirt",278,278,0,MATCH
"Squirting",,127,,LOCAL ONLY
"Step Fantasy",,21,,LOCAL ONLY
"Stockings",67,47,-20,DIFF
"Streamer",674,674,0,MATCH
"Student",,123,,LOCAL ONLY
"Sub",,213,,LOCAL ONLY
"Submissive",267,228,-39,DIFF
"Swedish",17,15,-2,DIFF
"Taiwan",,81,,LOCAL ONLY
"Taiwanese",85,85,0,MATCH
"Tall",,48,,LOCAL ONLY
"Tatted",,70,,LOCAL ONLY
"Tattoo",275,935,660,DIFF
"Teacher",,19,,LOCAL ONLY
"Teen",436,436,0,MATCH
"Telegram-Porn",19,19,0,MATCH
"Texas",51,51,0,MATCH
"Thai",51,38,-13,DIFF
"Thailand",,38,,LOCAL ONLY
"Thicc",,57,,LOCAL ONLY
"Thick",497,497,0,MATCH
"Thin",,6,,LOCAL ONLY
"Threesome",79,48,-31,DIFF
"TikTok",6,107,101,DIFF
"Tiny",,110,,LOCAL ONLY
"Titties",,206,,LOCAL ONLY
"Topless",68,66,-2,DIFF
"Toys",,310,,LOCAL ONLY
"Turkey",,241,,LOCAL ONLY
"Turkish",246,92,-154,DIFF
"Twerk",56,830,774,DIFF
"Twitch",,228,,LOCAL ONLY
"UK",,126,,LOCAL ONLY
"Ukraine",,30,,LOCAL ONLY
"Ukrainian",28,28,0,MATCH
"Uncensored AV",7,7,0,MATCH
"USA",32,133,101,DIFF
"Vegas",,78,,LOCAL ONLY
"Video Call",97,38,-59,DIFF
"Yoga",122,88,-34,DIFF
"Youtube",,36,,LOCAL ONLY
